Date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-03-04,WA,76,631,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,16,0,707,707,2,0,204,18,222
2020-03-04,WI,1,19,6,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,20,20,0,0,0,0,0
2020-03-05,AZ,2,28,6,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,30,30,0,0,1,0,1
2020-03-05,CA,53,462,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,515,515,0,0,0,0,0
2020-03-05,CO,0,19,21,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,19,19,0,0,0,0,0
2020-03-05,DC,0,6,2,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,6,6,0,0,0,0,0
2020-03-05,FL,9,31,69,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,40,40,0,0,7,7,14
2020-03-05,GA,2,0,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-03-05,IL,5,165,27,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,170,170,0,0,41,1,42
2020-03-05,MD,0,17,14,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,17,17,0,0,0,0,0
2020-03-05,MI,72,8,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,80,80,0,0,8,20,28
2020-03-05,NC,1,0,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-05,NE,0,17,5,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,17,17,0,0,0,0,0
2020-03-05,NH,2,16,4,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,18,18,0,0,6,0,6
2020-03-05,NJ,1,0,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-05,NV,1,14,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-05,NY,22,76,24,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,98,98,0,0,28,16,44
2020-03-05,OH,0,7,3,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,7,7,0,0,0,0,0
2020-03-05,OR,3,45,13,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,48,48,0,0,16,0,16
2020-03-05,RI,2,17,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,19,19,0,0,6,0,6
2020-03-05,SC,0,5,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,5,5,0,0,0,0,0
2020-03-05,TN,1,0,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-05,TX,1,0,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-05,VA,0,18,3,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,18,18,0,0,0,0,0
2020-03-05,WA,97,943,0,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,20,0,1040,1040,4,0,312,21,333
2020-03-05,WI,1,19,6,0,0,0,0,0,0,0,2020-03-05T21:00:00Z,0,0,20,20,0,0,0,0,0
2020-03-06,AK,0,8,1,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,8,8,0,0,0,0,0
2020-03-06,AR,0,6,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,6,6,0,0,0,0,0
2020-03-06,AZ,3,33,15,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,36,36,0,0,5,1,6
2020-03-06,CA,60,462,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,522,522,0,0,0,7,7
2020-03-06,CO,2,46,30,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,48,48,0,0,27,2,29
2020-03-06,DC,0,8,1,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,8,8,0,0,2,0,2
2020-03-06,DE,0,10,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,10,10,0,0,0,0,0
2020-03-06,FL,9,55,51,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,64,64,0,0,24,0,24
2020-03-06,GA,2,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-03-06,IA,0,15,2,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-06,IL,5,180,35,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,185,185,0,0,15,0,15
2020-03-06,IN,1,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-06,KS,0,4,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,4,4,0,0,0,0,0
2020-03-06,KY,0,7,3,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,7,7,0,0,0,0,0
2020-03-06,MD,3,26,12,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,29,29,0,0,9,3,12
2020-03-06,MI,98,8,8,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,106,106,0,0,0,26,26
2020-03-06,MN,0,36,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,36,36,0,0,0,0,0
2020-03-06,NC,2,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,2,2,0,0,0,1,1
2020-03-06,NE,0,17,5,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,17,17,0,0,0,0,0
2020-03-06,NH,2,20,3,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,22,22,0,0,4,0,4
2020-03-06,NJ,1,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-06,NM,0,16,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,16,16,0,0,0,0,0
2020-03-06,NV,1,14,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-06,NY,33,92,236,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,125,125,0,0,16,11,27
2020-03-06,OH,0,8,2,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,8,8,0,0,1,0,1
2020-03-06,OR,3,64,28,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,67,67,0,0,19,0,19
2020-03-06,PA,2,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-03-06,RI,3,17,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,20,20,0,0,0,1,1
2020-03-06,SC,0,5,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,5,5,0,0,0,0,0
2020-03-06,TN,1,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-06,TX,5,0,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,5,5,0,0,0,4,4
2020-03-06,VA,0,21,10,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,21,21,0,0,3,0,3
2020-03-06,VT,0,8,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,8,8,0,0,0,0,0
2020-03-06,WA,150,1378,0,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,26,0,1528,1528,6,0,435,53,488
2020-03-06,WI,1,31,12,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,32,32,0,0,12,0,12
2020-03-06,WV,0,1,4,0,0,0,0,0,0,0,2020-03-06T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,AK,0,12,2,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,12,12,0,0,4,0,4
2020-03-07,AL,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-07,AR,0,6,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,6,6,0,0,0,0,0
2020-03-07,AZ,5,44,7,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,49,49,0,0,11,2,13
2020-03-07,CA,69,462,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,531,531,0,0,0,9,9
2020-03-07,CO,8,55,69,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,63,63,0,0,9,6,15
2020-03-07,CT,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-07,DC,0,8,1,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,8,8,0,0,0,0,0
2020-03-07,DE,0,10,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,10,10,0,0,0,0,0
2020-03-07,FL,14,100,88,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,114,114,0,0,45,5,50
2020-03-07,GA,6,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,6,6,0,0,0,4,4
2020-03-07,HI,1,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,IA,0,15,2,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-07,ID,0,27,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,27,27,0,0,0,0,0
2020-03-07,IL,6,191,44,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,197,197,0,0,11,1,12
2020-03-07,IN,1,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,KS,0,11,2,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,11,11,0,0,7,0,7
2020-03-07,KY,1,9,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,10,10,0,0,2,1,3
2020-03-07,LA,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
